x, y, z, u
0.68, 0.16, 0, 0.0404909
0.7, 0.16, 0, 0.0388263
0.72, 0.16, 0, 0.0370066
0.74, 0.16, 0, 0.0350382
0.76, 0.16, 0, 0.0329284
0.78, 0.16, 0, 0.0306849
0.8, 0.16, 0, 0.0283162
0.82, 0.16, 0, 0.0258312
0.84, 0.16, 0, 0.0232398
0.86, 0.16, 0, 0.020552
0.88, 0.16, 0, 0.0177787
0.9, 0.16, 0, 0.0149311
0.92, 0.16, 0, 0.0120209
0.94, 0.16, 0, 0.00906014
0.96, 0.16, 0, 0.00606117
0.98, 0.16, 0, 0.0030366
0.02, 0.2, 0, 0.00388919
0.04, 0.2, 0, 0.00776279
0.06, 0.2, 0, 0.0116032
0.08, 0.2, 0, 0.0153942
0.1, 0.2, 0, 0.0191197
0.12, 0.2, 0, 0.0227642
0.14, 0.2, 0, 0.0263126
0.16, 0.2, 0, 0.0297505
0.18, 0.2, 0, 0.0330644
0.2, 0.2, 0, 0.0362419
0.22, 0.2, 0, 0.0392702
0.24, 0.2, 0, 0.0421373
0.26, 0.2, 0, 0.0448326
0.28, 0.2, 0, 0.0473465
0.3, 0.2, 0, 0.04967
0.32, 0.2, 0, 0.0517954
0.34, 0.2, 0, 0.0537155
0.36, 0.2, 0, 0.0554251
0.38, 0.2, 0, 0.0569187
0.4, 0.2, 0, 0.05819
0.42, 0.2, 0, 0.0592346
0.44, 0.2, 0, 0.0600498
0.46, 0.2, 0, 0.0606331
0.48, 0.2, 0, 0.0609821
0.5, 0.2, 0, 0.0610964
0.52, 0.2, 0, 0.0609758
0.54, 0.2, 0, 0.0606201
0.56, 0.2, 0, 0.0600366
0.58, 0.2, 0, 0.0592273
0.6, 0.2, 0, 0.0581879
0.62, 0.2, 0, 0.0569216
0.64, 0.2, 0, 0.0554326
0.66, 0.2, 0, 0.0537258
0.68, 0.2, 0, 0.0518067
0.7, 0.2, 0, 0.0496818
0.72, 0.2, 0, 0.0473583
0.74, 0.2, 0, 0.0448443
0.76, 0.2, 0, 0.0421488
0.78, 0.2, 0, 0.0392816
0.8, 0.2, 0, 0.0362533
0.82, 0.2, 0, 0.0330755
0.84, 0.2, 0, 0.0297604
0.86, 0.2, 0, 0.0263211
0.88, 0.2, 0, 0.0227713
0.9, 0.2, 0, 0.0191255
0.92, 0.2, 0, 0.0153988
0.94, 0.2, 0, 0.0116066
0.96, 0.2, 0, 0.00776505
0.98, 0.2, 0, 0.00389031
0.02, 0.24, 0, 0.00480932
0.04, 0.24, 0, 0.00959907
0.06, 0.24, 0, 0.0143472
0.08, 0.24, 0, 0.0190334
0.1, 0.24, 0, 0.0236376
0.12, 0.24, 0, 0.0281403
0.14, 0.24, 0, 0.032523
0.16, 0.24, 0, 0.0367676
0.18, 0.24, 0, 0.0408572
0.2, 0.24, 0, 0.0447766
0.22, 0.24, 0, 0.0485102
0.24, 0.24, 0, 0.052043
0.26, 0.24, 0, 0.0553629
0.28, 0.24, 0, 0.0584579
0.3, 0.24, 0, 0.0613178
0.32, 0.24, 0, 0.0639332
0.34, 0.24, 0, 0.0662953
0.36, 0.24, 0, 0.0683961
0.38, 0.24, 0, 0.0702296
0.4, 0.24, 0, 0.0717897
0.42, 0.24, 0, 0.0730716
0.44, 0.24, 0, 0.0740719
0.46, 0.24, 0, 0.0747875
0.48, 0.24, 0, 0.0752159
0.5, 0.24, 0, 0.0753555
0.52, 0.24, 0, 0.0752092
0.54, 0.24, 0, 0.0747791
0.56, 0.24, 0, 0.0740662
0.58, 0.24, 0, 0.0730708
0.6, 0.24, 0, 0.0717928
0.62, 0.24, 0, 0.070236
0.64, 0.24, 0, 0.0684053
0.66, 0.24, 0, 0.0663064
0.68, 0.24, 0, 0.063946
0.7, 0.24, 0, 0.0613317
0.72, 0.24, 0, 0.058472
0.74, 0.24, 0, 0.0553765
0.76, 0.24, 0, 0.0520561
0.78, 0.24, 0, 0.0485225
0.8, 0.24, 0, 0.0447888
0.82, 0.24, 0, 0.0408689
0.84, 0.24, 0, 0.0367779
0.86, 0.24, 0, 0.0325319
0.88, 0.24, 0, 0.0281479
0.9, 0.24, 0, 0.0236438
0.92, 0.24, 0, 0.0190383
0.94, 0.24, 0, 0.0143509
0.96, 0.24, 0, 0.00960149
0.98, 0.24, 0, 0.00481052
0.02, 0.28, 0, 0.0058129
0.04, 0.28, 0, 0.0116017
0.06, 0.28, 0, 0.0173393
0.08, 0.28, 0, 0.0230006
0.1, 0.28, 0, 0.0285611
0.12, 0.28, 0, 0.033997
0.14, 0.28, 0, 0.0392855
0.16, 0.28, 0, 0.0444048
0.18, 0.28, 0, 0.0493349
0.2, 0.28, 0, 0.0540565
0.22, 0.28, 0, 0.0585509
0.24, 0.28, 0, 0.0628011
0.26, 0.28, 0, 0.0667923
0.28, 0.28, 0, 0.0705101
0.3, 0.28, 0, 0.073945
0.32, 0.28, 0, 0.0770857
0.34, 0.28, 0, 0.0799199
0.36, 0.28, 0, 0.082439
0.38, 0.28, 0, 0.0846355
0.4, 0.28, 0, 0.0865032
0.42, 0.28, 0, 0.088038
0.44, 0.28, 0, 0.0892363
0.46, 0.28, 0, 0.0900942
0.48, 0.28, 0, 0.090609
0.5, 0.28, 0, 0.0907783
0.52, 0.28, 0, 0.0906048
0.54, 0.28, 0, 0.0900924
0.56, 0.28, 0, 0.0892393
